J_over_h,exact_L8_magic_density,qmc_L8_magic_density,qmc_L8_error
0.8,0.18563849569798738,0.192134554004568,0.0005691921633606102
0.82,0.19670665121050054,0.20506051073577666,0.0005895463362563574
0.84,0.20781779884460788,0.21805920123416567,0.0006032802317151392
0.86,0.2187564894640664,0.2315541334031959,0.0006220836725242771
0.88,0.22924880896070549,0.24475590252004467,0.0006227190782734808
0.9,0.2389678873483894,0.25695363603404386,0.00064959667527726
0.92,0.2475517529966654,0.26803000841145036,0.0006703771853687637
0.94,0.2546360871089636,0.2771899031352019,0.0006598719591040076
0.96,0.25989962083629564,0.283411519104187,0.0006683237504219861
0.98,0.26311362996195164,0.2867566431693089,0.000731319288658352
1.0,0.26418157256366287,0.28677485510372486,0.0007697516211940024
1.02,0.26315527278959877,0.2838601310366288,0.0007558316435533444
1.04,0.26022174147908556,0.27851724542109224,0.0007891019246865496
1.06,0.25566596250767976,0.2706736520886736,0.0008350736019908906
1.08,0.2498229041625812,0.2611694983866883,0.000869486141804137
1.1,0.24303270748522263,0.2512511732413664,0.0008626504089961502
1.12,0.23560788942831437,0.2408854929523153,0.0008766657744259456
1.14,0.22781489865710502,0.23114380738283333,0.0008485778924216412
1.16,0.21986781590627644,0.2210760004619289,0.0008574075220905499
1.18,0.2119302206629536,0.21186029570707968,0.0008908765258464867
1.2,0.20412143584732811,0.20296997308076106,0.0009179608748048637
