h,N4_magic_density,N6_magic_density,N8_magic_density
0.8,0.1885293216667315,0.19064359007748513,0.18563852935449693
0.82,0.19484889808581918,0.20028330387591928,0.19670668476095574
0.84,0.20062685148288031,0.2095546727777214,0.20781783108919202
0.86,0.20580613328819458,0.21827940756146713,0.21875651887254075
0.88,0.21033925591091426,0.22627098572094342,0.22924884068929688
0.9,0.21418986213449298,0.23334507098177906,0.23896791164540188
0.92,0.21733383045735805,0.2393321616643075,0.2475517726476833
0.94,0.21975983356328854,0.2440910762446906,0.2546361015704052
0.96,0.22146931395709651,0.24752129637173637,0.25989962957298685
0.98,0.22247589240550408,0.24957200841184324,0.2631136338741749
1.0,0.22280427358051005,0.25024610234202777,0.2641815725636629
1.02,0.22248875226755124,0.24959835919175796,0.263155268947692
1.04,0.22157144785670277,0.2477283196038179,0.26022173318317493
1.06,0.22010040273441245,0.2447692872984508,0.2556659489921513
1.08,0.2181276727796457,0.2408756677646056,0.24982288597923982
1.1,0.21570751888616138,0.23621053427571914,0.24303268526307487
1.12,0.21289478193346217,0.23093507196650645,0.2356078634373931
1.14,0.20974349465217085,0.22520058865679504,0.22781485470041307
1.16,0.2063057563365307,0.21914332573274806,0.21986778694384815
1.18,0.2026308730671347,0.21288179360635454,0.21193018925515006
1.2,0.198764748413633,0.20651591238486358,0.20412140302346476
